Ticker,Price,Slope,RVOL
MDGL,510.68,3.753,1.15
CAR,148.45,2.637,1.21
VLO,254.32,1.9705,1.51
TSEM,171.92,1.6665,2.52
NCSM,73.0,1.6035,1.22
PSX,188.28,1.405,1.19
CNR,113.23,1.312,1.37
DOCN,81.42,1.159,1.6
CVX,211.15,1.0775,1.33
ARM,144.13,0.988,2.79
PARR,65.67,0.9795,1.25
VRSN,247.48,0.9715,1.1
MANE,65.53,0.9455,2.07
DELL,171.81,0.913,1.14
PLPC,275.88,0.854,1.18
AKAM,114.5,0.843,1.17
XOM,170.99,0.8385,1.23
SENEA,151.78,0.8335,1.56
COP,133.8,0.778,1.14
DIT,89.55,0.7772,3.22
VIST,74.21,0.766,1.41
AXTI,60.63,0.7155,1.16
MEOH,65.22,0.6436,2.23
APA,44.39,0.635,1.33
IMO,130.76,0.6292,1.0
REX,47.73,0.594,1.73
PBF,51.23,0.5925,1.11
APEI,57.24,0.5585,1.24
SEDG,51.76,0.558,1.1
TERN,52.92,0.5445,6.48
CVI,34.83,0.495,1.3
YPF,45.17,0.491,2.24
NBIS,100.82,0.4905,1.66
EQNR,41.53,0.473,1.48
SU,66.66,0.4662,1.09
GLNG,55.03,0.4568,2.14
FORTY,124.95,0.456,2.17
AR,45.15,0.4035,1.02
SHEL,92.17,0.3975,1.4
E,55.22,0.393,1.81
OKE,93.96,0.392,1.14
CRC,68.87,0.3881,1.54
REPX,37.17,0.386,1.09
ASRT,19.39,0.381,7.5
DVN,52.07,0.3677,1.64
UNFI,45.93,0.3655,1.3
WLYB,38.56,0.3618,10.8
BP,46.68,0.3605,1.85
SQM,82.7,0.3535,1.03
CGON,64.62,0.343,1.28
YDDL,13.83,0.326,4.91
ANDE,73.19,0.3255,1.36
VG,17.53,0.3083,2.1
CNQ,50.09,0.307,1.34
DK,47.43,0.3045,1.03
NSP,26.49,0.297,1.15
MKTW,19.13,0.2949,3.02
BTU,39.5,0.2935,1.75
RRC,47.65,0.2934,1.04
BW,14.86,0.293,1.22
ASIX,24.06,0.293,1.43
TNC,66.5,0.2795,1.12
POWL,538.04,0.277,1.07
CHCI,16.83,0.2715,3.35
